Wavelength,Flux,eFlux
2020.8,2.31971350392015E-14,1.32208508197279E-15
2022.2,2.33184272485568E-14,1.32511738720667E-15
2023.5,2.37429499813004E-14,1.32511738720667E-15
2024.9,2.3803596085978E-14,1.31298816627114E-15
2026.2,2.35306886149286E-14,1.30995586103726E-15
2027.6,2.3803596085978E-14,1.31298816627114E-15
2028.9,2.38945652429945E-14,1.29479433486785E-15
2030.3,2.33184272485568E-14,1.25537436682738E-15
2031.6,2.36823038766227E-14,1.23718053542408E-15
2033,2.30151967251686E-14,1.25234206159349E-15
2034.3,2.44403801850934E-14,1.27963280869844E-15
2035.7,2.43797340804157E-14,1.30692355580338E-15
2037.1,2.5713948383324E-14,1.30692355580338E-15
2038.4,2.5016518179531E-14,1.29176202963397E-15
2039.8,2.43190879757381E-14,1.28266511393232E-15
2041.1,2.41674727140439E-14,1.26750358776291E-15
2042.5,2.33184272485568E-14,1.24021284065796E-15
2043.9,2.37732730336392E-14,1.19169595691584E-15
2045.2,2.31668119868627E-14,1.18866365168196E-15
2046.6,2.35913347196062E-14,1.19169595691584E-15
2048,2.35306886149286E-14,1.18259904121419E-15
2049.3,2.38642421906557E-14,1.19776056738361E-15
2050.7,2.47132876561428E-14,1.22808361972243E-15
2052.1,2.37126269289616E-14,1.23111592495632E-15
2053.4,2.4501026289771E-14,1.29479433486785E-15
2054.8,2.5380394807597E-14,1.27963280869844E-15
2056.2,2.47436107084816E-14,1.19776056738361E-15
2057.5,2.42281188187216E-14,1.18259904121419E-15
2058.9,2.36519808242839E-14,1.15530829410925E-15
2060.3,2.44403801850934E-14,1.1462113784076E-15
2061.7,2.3803596085978E-14,1.14317907317372E-15
2063,2.43797340804157E-14,1.13104985223819E-15
2064.4,2.33184272485568E-14,1.11892063130266E-15
2065.8,2.35306886149286E-14,1.12498524177043E-15
2067.2,2.38339191383169E-14,1.1128560208349E-15
2068.5,2.32274580915403E-14,1.09769449466548E-15
2069.9,2.33184272485568E-14,1.07646835802831E-15
2071.3,2.40158574523498E-14,1.07040374756054E-15
2072.7,2.41068266093663E-14,1.07040374756054E-15
2074.1,2.41674727140439E-14,1.07343605279442E-15
2075.4,2.36216577719451E-14,1.07040374756054E-15
2076.8,2.36216577719451E-14,1.06433913709278E-15
2078.2,2.34700425102509E-14,1.05827452662501E-15
2079.6,2.48649029178369E-14,1.0431130004556E-15
2081,2.3985534400011E-14,1.02188686381842E-15
2082.4,2.26209970447638E-14,1.01885455858454E-15
2083.8,2.37732730336392E-14,1.02188686381842E-15
2085.2,2.24997048354085E-14,1.02188686381842E-15
2086.5,2.32274580915403E-14,1.01885455858454E-15
2087.9,2.34397194579121E-14,1.00975764288289E-15
2089.3,2.19538898933097E-14,1.0431130004556E-15
2090.7,2.30758428298462E-14,1.00369303241512E-15
2092.1,2.29848736728297E-14,1.00369303241512E-15
2093.5,2.35610116672674E-14,1.05220991615725E-15
2094.9,2.34093964055733E-14,1.03401608475395E-15
2096.3,2.29848736728297E-14,9.73369980076299E-16
2097.7,2.33184272485568E-14,9.79434590544064E-16
2099.1,2.30151967251686E-14,1.02795147428618E-15
2100.5,2.34700425102509E-14,9.76402285310182E-16
2101.9,2.36519808242839E-14,9.73369980076299E-16
2103.3,2.31668119868627E-14,9.64273064374651E-16
2104.7,2.37429499813004E-14,9.49111538205239E-16
2106.1,2.2590673992425E-14,9.40014622503591E-16
2107.5,2.29545506204909E-14,9.24853096334178E-16
2108.9,2.30455197775074E-14,9.30917706801943E-16
2110.3,2.30758428298462E-14,9.24853096334178E-16
2111.7,2.28332584111356E-14,9.24853096334178E-16
2113.1,2.23480895737144E-14,9.52143843439121E-16
2114.5,2.19538898933097E-14,9.30917706801943E-16
2116,2.24693817830697E-14,9.58208453906886E-16
2117.4,2.20145359979873E-14,9.00594654463118E-16
2118.8,2.16203363175826E-14,8.88465433527587E-16
2120.2,2.16809824222602E-14,8.76336212592057E-16
2121.6,2.1893243788632E-14,8.73303907358175E-16
2123,2.2075182102665E-14,8.6723929689041E-16
2124.4,2.14990441082273E-14,8.64206991656527E-16
2125.9,2.21964743120203E-14,8.6723929689041E-16
2127.3,2.22874434690368E-14,8.70271602124292E-16
2128.7,2.26209970447638E-14,8.61174686422644E-16
2130.1,2.24087356783921E-14,8.61174686422644E-16
2131.5,2.12867827418555E-14,8.58142381188762E-16
2133,2.14687210558885E-14,8.46013160253232E-16
2134.4,2.14687210558885E-14,8.46013160253232E-16
2135.8,2.08319369567731E-14,8.42980855019349E-16
2137.2,2.24390587307309E-14,8.42980855019349E-16
2138.7,2.19842129456485E-14,8.39948549785467E-16
2140.1,2.18325976839544E-14,8.33883939317702E-16
2141.5,2.14687210558885E-14,8.21754718382171E-16
2142.9,2.05590294857237E-14,8.09625497446641E-16
2144.4,2.13474288465332E-14,7.85367055575581E-16
2145.8,1.99222453866084E-14,7.67173224172285E-16
2147.2,1.91944921304765E-14,7.52011698002873E-16
2148.7,1.93461073921707E-14,7.58076308470638E-16
2150.1,2.04074142240296E-14,7.70205529406168E-16
2151.5,2.06196755904014E-14,7.76270139873933E-16
2153,2.10441983231449E-14,7.70205529406168E-16
2154.4,2.04680603287072E-14,7.73237834640051E-16
2155.8,2.08319369567731E-14,7.73237834640051E-16
2157.3,2.20448590503261E-14,7.76270139873933E-16
2158.7,2.08319369567731E-14,7.67173224172285E-16
2160.1,2.1195813584839E-14,7.55044003236755E-16
2161.6,2.07712908520955E-14,7.52011698002873E-16
2163,2.0680321695079E-14,7.4897939276899E-16
