Filename,Name,Norm_Factor,Skew,Sigma,Norm,Wavelength,PL_Norm,PL_Slope,Fe_UV_Norm,Fe_UV_FWHM,Fe_UV_del,Fe_Opt_Norm,Fe_Opt_FWHM,Fe_Opt_del,Balmer_norm,Balmer_Te,Balmer_tau
testa,MgII_br,7.958524896680851e-15,0.0,1481.6195847550644,11.932529422326349,2798.011779871711,1.7017651497402975,-1.2729342343109593,0.02710743224215717,1751.2144968042867,-0.0002443504783893706,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.958524896680851e-15,0.0,2804.1815841227967,14.646783661181212,2796.0925391582364,1.7017651497402975,-1.2729342343109593,0.02710743224215717,1751.2144968042867,-0.0002443504783893706,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.958524896680851e-15,0.0,825.8509371764969,4.038348803301001,2796.2595240879186,1.7017651497402975,-1.2729342343109593,0.02710743224215717,1751.2144968042867,-0.0002443504783893706,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_na,7.958524896680851e-15,0.0,137.05578533973826,0.3166278681401947,2800.0664534552416,1.7017651497402975,-1.2729342343109593,0.02710743224215717,1751.2144968042867,-0.0002443504783893706,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_br,7.941844275191181e-15,0.0,969.4747184556547,8.44942377349095,2797.7724708655596,1.7102815692597306,-1.2644539348461108,0.02630141533010999,1909.227959746147,-8.190749615783269e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.941844275191181e-15,0.0,2047.2888055692476,16.66982512391225,2796.7753658864804,1.7102815692597306,-1.2644539348461108,0.02630141533010999,1909.227959746147,-8.190749615783269e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.941844275191181e-15,0.0,4246.714493871443,4.987568561459855,2793.9579464444314,1.7102815692597306,-1.2644539348461108,0.02630141533010999,1909.227959746147,-8.190749615783269e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_na,7.941844275191181e-15,0.0,85.00000523826122,0.10859449306337463,2800.449846835942,1.7102815692597306,-1.2644539348461108,0.02630141533010999,1909.227959746147,-8.190749615783269e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_br,7.935998338241345e-15,0.0,709.8059587831929,3.1807710720485742,2798.9580065140462,1.7064922509451574,-1.2873737977661337,0.026684233906004717,1946.8301268833097,-0.0001645603999793563,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.935998338241345e-15,0.0,1502.6100265167547,14.979666381627087,2796.5160369702858,1.7064922509451574,-1.2873737977661337,0.026684233906004717,1946.8301268833097,-0.0001645603999793563,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.935998338241345e-15,0.0,3072.7844756217696,12.85488431733551,2796.7616621470465,1.7064922509451574,-1.2873737977661337,0.026684233906004717,1946.8301268833097,-0.0001645603999793563,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_na,7.935998338241345e-15,0.0,85.00000057233889,0.21139491343241643,2793.0770269934083,1.7064922509451574,-1.2873737977661337,0.026684233906004717,1946.8301268833097,-0.0001645603999793563,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_br,7.94378211435736e-15,0.0,1829.7913504913595,9.04835191328491,2796.8155241962495,1.70146905435975,-1.2710878500983664,0.027937451003712255,1696.4799912790436,2.1509931372610397e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.94378211435736e-15,0.0,1829.5730051162163,9.0483530530755,2796.815472466144,1.70146905435975,-1.2710878500983664,0.027937451003712255,1696.4799912790436,2.1509931372610397e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.94378211435736e-15,0.0,1829.6340578159588,9.0483531010854,2796.8154465893954,1.70146905435975,-1.2710878500983664,0.027937451003712255,1696.4799912790436,2.1509931372610397e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_na,7.94378211435736e-15,0.0,423.99999596079033,2.029177642677373,2799.2138490519683,1.70146905435975,-1.2710878500983664,0.027937451003712255,1696.4799912790436,2.1509931372610397e-05,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_br,7.938864740973557e-15,0.0,1099.0680416083974,11.822237704279516,2797.824258409531,1.7061105889050743,-1.2676363241994606,0.027198267963046696,1810.2216137290102,-0.0004098195141095107,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.938864740973557e-15,0.0,425.00000423059106,0.31351783349280654,2792.889766293264,1.7061105889050743,-1.2676363241994606,0.027198267963046696,1810.2216137290102,-0.0004098195141095107,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa, ,7.938864740973557e-15,0.0,2577.6941162090175,18.45420212752014,2797.138911887612,1.7061105889050743,-1.2676363241994606,0.027198267963046696,1810.2216137290102,-0.0004098195141095107,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
testa,MgII_na,7.938864740973557e-15,0.0,85.0007725602673,0.14301659286369345,2799.0423406127384,1.7061105889050743,-1.2676363241994606,0.027198267963046696,1810.2216137290102,-0.0004098195141095107,0.00010000000000287557,3000.0,0.0,0.0,10000.0,0.2
