Filename,Name,Norm_Factor,Skew,Sigma,Norm,Wavelength,PL_Norm,PL_Slope,Fe_UV_Norm,Fe_UV_FWHM,Fe_UV_del,Fe_Opt_Norm,Fe_Opt_FWHM,Fe_Opt_del,Balmer_norm,Balmer_Te,Balmer_tau
testb,MgII_br,7.913322795245975e-15,0.0,1037.797631361678,10.610139825222939,2797.5274320149983,1.7140809402519588,-1.2623244247309355,0.026589590983052705,1821.938265874042,-0.0002128506435253366,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.913322795245975e-15,0.0,459.86142447283765,0.0,2799.082546025286,1.7140809402519588,-1.2623244247309355,0.026589590983052705,1821.938265874042,-0.0002128506435253366,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.913322795245975e-15,0.0,2401.9450927644093,19.48915914785226,2797.028578264104,1.7140809402519588,-1.2623244247309355,0.026589590983052705,1821.938265874042,-0.0002128506435253366,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_na,7.913322795245975e-15,0.0,85.0,0.17128937916740414,2800.408144188746,1.7140809402519588,-1.2623244247309355,0.026589590983052705,1821.938265874042,-0.0002128506435253366,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_br,7.914455502903578e-15,0.0,1092.8378112060404,9.894483882017408,2797.541911777747,1.7132440555121349,-1.2777634027209794,0.02654964985731113,1673.2954563840558,-0.000320230781976319,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.914455502903578e-15,0.0,2350.9986895138027,19.447442672066373,2796.5450106536487,1.7132440555121349,-1.2777634027209794,0.02654964985731113,1673.2954563840558,-0.000320230781976319,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.914455502903578e-15,0.0,572.8186532914812,7.105427357601002e-15,2799.116999887897,1.7132440555121349,-1.2777634027209794,0.02654964985731113,1673.2954563840558,-0.000320230781976319,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_na,7.914455502903578e-15,0.0,424.0,0.7018362676315113,2798.7225741784505,1.7132440555121349,-1.2777634027209794,0.02654964985731113,1673.2954563840558,-0.000320230781976319,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_br,7.936997292680961e-15,0.0,946.411025492637,8.640328293220943,2797.798578307398,1.7088721007975827,-1.262269778468115,0.027038410129462873,1718.5597731372889,-0.0001628052357560037,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.936997292680961e-15,0.0,2314.941786771922,21.40173608731192,2796.562869530594,1.7088721007975827,-1.262269778468115,0.027038410129462873,1718.5597731372889,-0.0001628052357560037,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.936997292680961e-15,0.0,768.6275565465953,7.105427357601002e-15,2799.116999734082,1.7088721007975827,-1.262269778468115,0.027038410129462873,1718.5597731372889,-0.0001628052357560037,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_na,7.936997292680961e-15,0.0,117.93916011599532,0.14200173897110477,2800.093685293948,1.7088721007975827,-1.262269778468115,0.027038410129462873,1718.5597731372889,-0.0001628052357560037,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_br,7.933373351690711e-15,0.0,1248.405629867196,5.816687732807968,2798.192570490627,1.7076182064610232,-1.264023695374671,0.026925041840626412,1804.5950455161699,-0.0002908564648585167,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.933373351690711e-15,0.0,758.2432138325644,4.2186650563433705,2796.9024143771067,1.7076182064610232,-1.264023695374671,0.026925041840626412,1804.5950455161699,-0.0002908564648585167,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.933373351690711e-15,0.0,2349.5468889317726,20.2468253003276,2796.933485521703,1.7076182064610232,-1.264023695374671,0.026925041840626412,1804.5950455161699,-0.0002908564648585167,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_na,7.933373351690711e-15,0.0,133.93947190472574,0.132415677891571,2800.5369005270113,1.7076182064610232,-1.264023695374671,0.026925041840626412,1804.5950455161699,-0.0002908564648585167,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_br,7.92125246046992e-15,0.0,425.0,0.3958250649648634,2802.7887106155063,1.7096724887217822,-1.2766774727414851,0.026746607735512847,1892.1401641373143,-0.00021150510557133955,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.92125246046992e-15,0.0,2277.9774275709724,21.532479602469813,2797.6153332848326,1.7096724887217822,-1.2766774727414851,0.026746607735512847,1892.1401641373143,-0.00021150510557133955,0.0,3000.0,0.0,0.0,10000.0,0.1
testb, ,7.92125246046992e-15,0.0,945.5687419532234,8.000669372962848,2796.6644503161187,1.7096724887217822,-1.2766774727414851,0.026746607735512847,1892.1401641373143,-0.00021150510557133955,0.0,3000.0,0.0,0.0,10000.0,0.1
testb,MgII_na,7.92125246046992e-15,0.0,85.0,0.1058615329054973,2799.24838771305,1.7096724887217822,-1.2766774727414851,0.026746607735512847,1892.1401641373143,-0.00021150510557133955,0.0,3000.0,0.0,0.0,10000.0,0.1
