runName,DataFile,LineFile,redshift,N_Fits,ContiWindows,LineWindows,useBalmer,useFe,Fe_uv,Fe_opt,lineShift,smoothStddev,clipStddev,clipBoxWidth,clipBufferWidth,plotWindow,lineComplexInd
g0629569-265832_6dFGS,data/g0629569-265832_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.072372,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0910208-053058_WiFeS,data/g0910208-053058_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.055959,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0910208-053058_6dFGS,data/g0910208-053058_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.055959,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1937330-061305_WiFeS,data/g1937330-061305_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.010382,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1937330-061305_6dFGS,data/g1937330-061305_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.010382,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1316092-143641_WiFeS,data/g1316092-143641_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.081251,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1316092-143641_6dFGS,data/g1316092-143641_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.081251,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0546563-333742_WiFeS,data/g0546563-333742_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.034897,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0546563-333742_6dFGS,data/g0546563-333742_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.034897,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1557032-074134_WiFeS,data/g1557032-074134_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.081524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
